N,StencilRadius,ComputationTime(ms),storageType
1024,2,1.8720507621765137,0
32,2,0.6302952766418457,0
16,2,0.43399930000305176,0
16,1,0.4460453987121582,0
16,1,2.575039863586426,0
16,2,3.0989646911621094,0
16,3,2.426028251647949,0
16,3,1.3179779052734375,0
16,3,2.323031425476074,0
16,3,0.9857018788655598,0
16,1,1.0276635487874348,0
16,2,0.9310245513916016,0
16,2,1.2069940567016602,0
16,1,1.3105273246765137,0
16,1,0.4234015941619873,0
16,1,0.3963669141133626,0
16,1,0.3451704978942871,0
16,1,7.910966873168945,0
16,1,0.5156993865966797,0
16,1,0.2834892272949219,0
16,2,0.3875100612640381,0
