N,ComputationTime(ms),GFLOPS,CPU,GPU
1024,15.115500,142.071625,0,1
1024,14.801791,145.082690,0,1
1024,14.223791,150.978290,0,1
8192,740.837541,1484.146749,0,1
8192,800.159333,1374.115857,0,1
8192,770.338500,1427.309719,0,1
8192,803.658833,1368.132325,0,1
8192,772.433083,1423.439327,0,1
8192,828.108541,1327.738543,0,1
8192,814.773875,1349.468437,0,1
8192,870.479625,1263.110125,0,1
8192,751.439875,1463.206391,0,1
8192,864.772208,1271.446535,0,1
16384,14671.121083,599.551525,0,1
8192,755.386875,1455.560937,0,1
8192,746.616833,1472.658503,0,1
8192,808.934125,1359.210341,0,1
8192,793.527916,1385.599178,0,1
8192,722.012416,1522.843103,0,1
